Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
3,3,2,2000.0,50000,Manikonda,0,0,0,0
2,2,0,1350.0,24000,TNGOs Colony Phase 2,0,1,0,0
3,3,2,1285.0,30000,Gowlidoddy,0,0,0,0
2,2,0,1016.0,25000,Hitech City Road,0,1,0,0
3,2,0,1163.0,20000,Manikonda,0,1,0,0
2,2,2,863.0,21000,Madhapur,0,1,0,0
2,2,3,1000.0,35000,Kothaguda,1,0,0,0
2,2,3,938.0,40000,Madhapur,0,0,0,0
3,2,3,1200.0,27000,Manikonda,1,0,0,0
2,2,0,908.0,25000,Kukatpally,0,1,0,0
3,3,3,2400.0,25000,Serilingampally,0,0,0,0
3,3,0,1650.0,24000,Manikonda,0,1,0,0
2,2,0,375.0,7500,Lothukunta,0,1,0,0
2,2,2,1023.0,30000,Gachibowli,0,1,0,0
3,2,0,900.0,22000,Siddhartha Nagar,0,1,0,0
2,2,2,750.0,11000,Boduppal,0,0,0,0
3,2,0,1200.0,19000,Nampally,0,0,0,0
3,2,0,1350.0,40000,Punjagutta,0,1,0,0
3,3,0,1780.0,24000,Panchavati Colony,0,0,0,0
3,3,2,1212.0,30000,Nallagandla,0,0,1,0
2,2,0,1100.0,15000,Malkajgiri,0,0,0,0
2,2,0,750.0,8500,Malakpet,0,1,0,0
3,3,0,1221.0,34000,Kondapur,0,1,0,0
1,1,0,750.0,13000,Nallagandla,0,0,0,0
4,5,2,1173.0,50000,Kondapur,0,0,0,0
2,2,0,765.0,8000,Kistareddypet,0,1,0,0
3,2,2,1988.0,81000,Banjara Hills,0,1,0,0
2,2,0,962.0,48000,Nanakramguda,0,1,0,0
3,3,2,1850.0,27000,Tarnaka,0,1,0,0
2,2,2,1013.0,16000,Tolichowki,0,0,0,0
1,1,1,60.0,5500,Chandrayangutta,0,0,0,0
1,1,0,488.0,6500,Bandam Kommu,0,0,0,0
3,3,0,975.0,20000,A S Rao Nagar,0,0,0,0
2,2,0,888.0,14000,Upparpalli,0,0,0,0
4,4,2,2700.0,38000,OU Colony,0,0,0,0
2,2,1,975.0,12000,Gandhamguda,0,0,0,0
1,1,0,525.0,10000,Shastripuram Colony,0,0,0,0
2,2,2,900.0,14000,Vanasthalipuram,0,0,0,0
3,3,2,1013.0,19000,Old Malakpet,0,0,0,0
3,3,1,900.0,15000,Gaddiannaram,0,0,0,0
3,3,2,1350.0,20000,Yakutpura,0,0,0,0
2,2,2,806.0,16000,Chanda Nagar,0,1,0,0
